20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
2040-2160,43.669613,16.814853,103,26
2160-2280,74.533461,7.632394,181,9
2280-2400,39.892645,18.085736,133,131
2400-2520,26.606376,26.173402,101,127
2520-2640,15.353274,33.774869,59,119
2640-2760,6.588761,42.726399,56,100
2760-2880,6.573187,42.680681,56,103
2880-3000,5.287005,43.679557,60,88
3000-3120,8.482443,40.60975,67,101
3120-3240,6.026033,42.995008,74,112
3240-3360,7.310317,41.99383,38,119
3360-3480,4.993464,44.658564,53,82
3480-3600,3.27002,45.825673,72,90
3600-3720,13.079083,37.143862,87,111
3720-3840,10.835268,38.491349,63,123
3840-3960,7.347719,41.749199,61,111
3960-4080,14.808946,36.323978,75,100
4080-4200,7.333984,41.549381,43,115
4200-4320,6.442236,42.801417,68,82
4320-4440,26.838983,27.035805,110,75
4440-4560,45.984185,15.178763,141,69
4560-4680,30.029611,24.082993,129,125
4680-4800,28.615144,25.143317,120,126
4800-4920,28.487908,24.851081,113,121
4920-5040,20.949085,29.452071,102,123
5040-5160,18.475467,31.746839,104,120
5160-5280,20.487897,31.025098,100,131
5280-5400,22.211326,29.205717,110,120
5400-5520,19.526844,30.944314,121,133
5520-5640,21.17455,29.384647,93,131
5640-5760,40.82268,18.274087,170,63
5760-5880,52.124963,14.267889,168,106
5880-6000,36.709007,20.829109,149,125
6000-6120,26.405158,25.292548,145,136
6120-6240,34.969151,21.513335,137,132
6240-6360,29.875022,23.704419,167,128
6360-6480,32.00268,22.023995,186,136
6480-6600,39.775508,17.86309,141,139
6600-6720,33.680548,23.158304,168,137
6720-6840,35.234966,21.887504,163,129
6840-6960,30.994362,22.182162,162,141
6960-7080,30.50595,22.582715,159,132
7080-7200,38.727425,18.733319,173,116
7200-7320,51.429867,14.505744,207,93
7320-7440,47.14562,14.899054,180,137
7440-7560,44.413413,18.053509,182,115
7560-7680,38.518162,18.626687,161,133
7680-7800,39.304531,20.056743,219,122
7800-7920,45.223894,16.282614,183,140
7920-8040,38.926215,18.874766,190,123
8040-8160,38.130179,19.375845,164,137
8160-8280,34.435227,20.951294,152,137
8280-8400,28.520483,23.744172,183,131
8400-8520,47.463123,16.105459,173,122
8520-8640,38.472792,19.436513,164,137
8640-8760,32.788669,22.421056,151,137
8760-8880,38.05367,19.933492,171,131
8880-9000,37.8013,20.360947,178,131
9000-9120,30.883357,22.71373,176,130
9120-9240,38.455234,19.164039,173,132
9240-9360,43.129593,16.125134,194,104
9360-9480,53.156173,13.801724,224,119
9480-9600,47.03474,16.169304,187,130
9600-9720,37.780609,20.115645,184,134
9720-9840,36.87242,18.92993,136,139
9840-9960,34.559879,22.047049,158,130
9960-10080,32.042602,22.599101,152,134
10080-10200,34.748003,21.139762,144,133
10200-10320,37.376184,20.292417,132,127
10320-10440,37.174546,20.477662,180,111
10440-10560,40.02315,17.849765,186,125
10560-10680,41.537068,18.60273,189,128
10680-10800,35.289731,19.429684,166,136
10800-10920,38.130321,18.695235,194,116
10920-11040,87.218266,3.435471,265,8
11040-11160,29.171815,5.289465,279,11
SUM,,,,9940
